id,vname,query,duration,gt_s,gt_e,pred_s,pred_e,iou
37,v__yWADgOFxP0.mp4,"""A camera pans over a snowy area and leads into a man standing on a snowboard and riding down a mountain.""",238.38,0,75.09,21.3,36.7,0.20508722865894263
38,v__yWADgOFxP0.mp4,""" The man zooms in on himself riding down the hill and ends with him turning off the camera.""",238.38,75.09,238.38,128.3,183.9,0.3404984996019352
39,v_AGgJVF3nT6I.mp4,"""A playroom is seen followed by a young boy sliding down a slide and climbing back up again.""",65.04,0,14.31,21.2,37.8,0.0
40,v_AGgJVF3nT6I.mp4,""" He slides down again, this time landing on his back, and continues to slide down several more times.""",65.04,14.31,65.04,20.8,30.0,0.18135225704711214
41,v_XD3yFrJHiv8.mp4,"""A man and woman are sitting on red couches with sports jerseys hanging on the wall and a blue screen on the wall behind them in the middle of them.""",157.32,0,157.32,108.2,119.6,0.07246376811594198
42,v_XD3yFrJHiv8.mp4,"""The woman picks up a clipboard next to her and smooths out the papers that are on top of it while smiling, crosses her legs and sits back.""",157.32,0,16.52,15.1,27.4,0.051824817518248176
43,v_XD3yFrJHiv8.mp4,"""The man is talking this whole time while the woman gets comfortable on her couch and the woman briefly talks.""",157.32,0,29.89,25.6,39.6,0.10833333333333331
44,v_XD3yFrJHiv8.mp4,"""Various clips begin to play and it briefly shows parts of a city, then most of it is of men outdoors and playing soccer on sand in a middle of city, and occasionally blue words pop up on the screen when certain plays in the game are made.""",157.32,29.89,152.6,16.1,24.4,0.0
45,v_XD3yFrJHiv8.mp4,""" When the clips end the man and woman on the couch begin talking and she puts her clipboard down.""",157.32,152.6,157.32,0.0,30.6,0.0
46,v_lZKrd84QElk.mp4,"""The former president is seen walking in a large field next to a woman and surrounded by a large crowd.""",65.83,0.66,18.76,25.5,41.3,0.0
47,v_lZKrd84QElk.mp4,""" The man gives a speech while people cheering and he shakes hands with others.""",65.83,16.79,56.94,10.0,20.0,0.06838517256071583
48,v_lZKrd84QElk.mp4,""" The man then shares a beer with other people around him.""",65.83,45.75,65.17,0.0,21.5,0.0
49,v_6lYTHj9vImo.mp4,"""Four kids are outside in the beach playing in the sand,two boys on the left and two girls on the right.""",60.12,0,15.33,19.5,32.6,0.0
50,v_6lYTHj9vImo.mp4,"""The girls have about six sand castles and a large circle surrounding it filled with water.""",60.12,15.93,34.27,25.6,43.9,0.309974973185556
51,v_6lYTHj9vImo.mp4,"""They then take off running to the beach to grab more water as the boy comes and looks at their work.""",60.12,34.57,49.6,0.0,25.9,0.0
52,v_6lYTHj9vImo.mp4,"""Once they are done,both of the girls take off running to the water but then stop midway to come back and get their floats.""",60.12,49,60.12,20.8,30.0,0.0
53,v_E3QtX6r9QX0.mp4,"""A large pile of leaves are seen being blown around with shots of a blower being shown.""",103.37,0,36.18,62.2,87.6,0.0
54,v_E3QtX6r9QX0.mp4,""" the leaves continue to be shown blowing around as well as a machine sitting off in the distance.""",103.37,19.12,103.37,42.6,92.4,0.5910979228486647
55,v_iYxj8a1TPYk.mp4,"""A basketball player is seen dribbling a ball in various shots for the camera and leads into the player making baskets over and over again.""",157.41,0,84.21,104.4,124.8,0.0
56,v_iYxj8a1TPYk.mp4,""" The man is then seen speaking to the camera and transitions into him scoring several more baskets.""",157.41,83.43,157.41,22.5,44.6,0.0
57,v_cp52LdlmlUk.mp4,"""People are standing in a room working out.""",129.96,0,129.96,30.4,35.7,0.04078177900892585
58,v_cp52LdlmlUk.mp4,""" They are stepping up and down on small stepping stools.""",129.96,5.2,129.96,0.0,96.9,0.7056017236072637
59,v_cp52LdlmlUk.mp4,""" They continue working out in the room.""",129.96,17.55,129.96,36.7,48.4,0.10408326661329058
60,v_bpg2PC2neQM.mp4,"""A black and white video is being played of people playing lacrosse on a field.""",218.7,0,32.8,150.2,205.6,0.0
61,v_bpg2PC2neQM.mp4,""" It then turns back to color and splits into multiple frames and speeds.""",218.7,38.27,83.11,46.0,56.4,0.231935771632471
62,v_bpg2PC2neQM.mp4,""" The video includes numerous clips of players in lacrosse games, hitting the ball toward opposing goals.""",218.7,88.57,218.7,24.6,34.5,0.0
63,v_RgzbNJPchqc.mp4,"""A man is playing the bagpipes in front of people.""",69.24,0,69.24,14.4,23.4,0.12998266897746966
64,v_RgzbNJPchqc.mp4,""" The people on the couch in front of him start laughing.""",69.24,38.08,60.59,0.0,33.3,0.0
65,v__zHSfEhEqkU.mp4,"""A man is seen padding a canoe along the water while the camera captures him from several angles.""",194.35,0,64.14,0.0,33.7,0.5254131587153102
66,v__zHSfEhEqkU.mp4,""" The man continues riding around followed by performing several ways to turn the canoe around.""",194.35,55.39,194.35,128.5,173.0,0.3202360391479563
67,v_dAjhBWalWRM.mp4,"""A group of people stand in front of a blackjack table.""",32.09,0,32.09,25.7,30.3,0.1433468370208788
68,v_dAjhBWalWRM.mp4,""" The blackjack attendant places cards on the table.""",32.09,0.8,30.81,13.9,31.6,0.5490259740259739
69,v_zihMznAYlV0.mp4,"""Two men in padded sumo costumes are pulled along a tug rope on a ski slope.""",72.8,1.46,4.73,20.8,30.0,0.0
70,v_zihMznAYlV0.mp4,""" Two men in yellow padded sumo costumes do jumps on their snowboard on a downhill course.""",72.8,6.19,72.8,13.7,39.5,0.38732922984536855
71,v_zihMznAYlV0.mp4,""" A filmer waives to the camera.""",72.8,38.95,40.4,24.5,43.3,0.07712765957446786
72,v_zihMznAYlV0.mp4,""" The man spins while sliding across a platform in the sumo suit.""",72.8,43.68,51.32,15.2,36.0,0.0
73,v_zihMznAYlV0.mp4,""" The two men give each other a high five.""",72.8,51.32,53.14,10.0,20.8,0.0
74,v_zihMznAYlV0.mp4,""" The man in sumo suit goes over a small triangular obstacle.""",72.8,56.05,58.6,34.0,68.7,0.07348703170028831
75,v_zihMznAYlV0.mp4,""" A man on small skis crashes while trying to jump.""",72.8,58.6,61.15,21.4,31.2,0.0
76,v_zihMznAYlV0.mp4,""" The man jumps onto and slide across a platform while wearing a sumo suit.""",72.8,61.51,65.88,32.0,40.0,0.0
77,v_zihMznAYlV0.mp4,""" The man bounces over a low railing.""",72.8,66.24,67.34,30.4,63.6,0.0
78,v_---9CpRcKoU.mp4,"""A man was sitting inside a room.""",14.07,0,1.62,10.9,20.0,0.0
79,v_---9CpRcKoU.mp4,""" He is holding a bowl of noodles and broth.""",14.07,1.76,8.58,10.2,21.6,0.0
80,v_---9CpRcKoU.mp4,""" He is drinking the broth from a bowl.""",14.07,8.87,14.07,15.5,31.1,0.0
81,v_epqnpUCVLK8.mp4,"""A little boy is laying on an exercise ball.""",63.32,0,5.07,10.1,29.6,0.0
82,v_epqnpUCVLK8.mp4,""" The boy falls of and gets back on the ball before he falls off again.""",63.32,5.07,13.61,13.0,26.4,0.02859821847163617
83,v_epqnpUCVLK8.mp4,""" He tries to sit on the ball but the ball rolls away.""",63.32,13.61,24.38,19.5,34.9,0.22921559417566928
84,v_epqnpUCVLK8.mp4,""" He retrieves it and continues to sit on and fall off the ball.""",63.32,30.08,61.74,10.0,20.0,0.0
85,v_m22TDwfa8go.mp4,"""A woman is seen talking to the camera and presenting various liquids to the camera.""",183.86,0,23.9,67.3,84.6,0.0
86,v_m22TDwfa8go.mp4,""" She ready's the tip of a glass and dips the glass into sugar on a plate.""",183.86,23.9,52.4,44.0,53.6,0.28282828282828276
87,v_m22TDwfa8go.mp4,""" She pours various liquids into a mixer and shakes the mixture all together.""",183.86,54.24,136.05,36.3,43.5,0.0
88,v_m22TDwfa8go.mp4,""" She pours the drink out into the glass while still speaking to the camera.""",183.86,136.05,183.86,105.4,147.6,0.147208768799388
89,v_p9iE8iemCMs.mp4,"""A person is holding a flute.""",134.58,10.09,123.82,12.0,17.9,0.051877253143409824
90,v_p9iE8iemCMs.mp4,"""  The person shows a fingering for the second octave of the note.""",134.58,42.39,72.67,57.9,113.0,0.20917717037246852
91,v_p9iE8iemCMs.mp4,"""  The person shows the fingering on the third octave.""",134.58,74.02,89.5,66.1,80.7,0.2854700854700857
92,v_p9iE8iemCMs.mp4,"""  The woman talks directly to the camera.""",134.58,92.86,123.14,0.0,36.4,0.0
93,v_fN2DiOswmOA.mp4,"""The screen shows the title of preparing a Chilean Hulte salad dish.""",185.48,2.78,7.42,54.3,60.4,0.0
94,v_fN2DiOswmOA.mp4,""" A person is mixing salad ingredients in a large bowl.""",185.48,7.42,14.84,160.7,165.3,0.0
95,v_fN2DiOswmOA.mp4,""" There is information shown about Dr.""",185.48,14.84,22.26,35.0,130.6,0.0
96,v_fN2DiOswmOA.mp4,""" Rachel Collin's trip to Chile.""",185.48,22.26,28.75,22.9,36.0,0.42576419213973815
97,v_fN2DiOswmOA.mp4,""" There are several people standing under a canopy at a food market.""",185.48,28.75,63.99,40.6,119.5,0.2577410468319559
98,v_fN2DiOswmOA.mp4,""" Two customers make a purchase and give money to the seller and give the camera a thumbs up.""",185.48,63.99,95.52,117.9,167.1,0.0
99,v_fN2DiOswmOA.mp4,""" The chef is showing hulte placed on a kitchen counter.""",185.48,95.52,107.58,40.0,60.9,0.0
100,v_fN2DiOswmOA.mp4,""" The chef is slicing the hulte in circular bite size pieces.""",185.48,107.58,116.85,53.0,85.3,0.0
101,v_fN2DiOswmOA.mp4,""" A woman eats the cut pieces of hulte.""",185.48,116.85,134.47,15.1,34.4,0.0
102,v_fN2DiOswmOA.mp4,""" The chef chops some cilantro on the kitchen counter.""",185.48,134.47,143.75,32.3,45.8,0.0
103,v_fN2DiOswmOA.mp4,""" Then the chef places the ingredients in a salad bowl.""",185.48,143.75,154.88,124.5,140.2,0.0
104,v_fN2DiOswmOA.mp4,""" The finished product is shown on screen, followed by a group of people sitting together and enjoying the salad.""",185.48,154.88,166.01,4.3,27.5,0.0
105,v_fN2DiOswmOA.mp4,""" The end credits are displayed on the screen.""",185.48,166.01,185.48,0.0,17.0,0.0
106,v_37pwbUp8t1I.mp4,"""Hiphop dancers perform in front of a crowd.""",200.04,0,199.04,54.5,127.7,0.3677652733118971
107,v_37pwbUp8t1I.mp4,"""  They are all doing the same basic dance and having pictures taken of them.""",200.04,59.01,199.04,125.0,137.7,0.09069485110333492
108,v_TmI9MxCDBMw.mp4,"""A murky river is shown next to a row of trees.""",191.94,0,32.63,0.0,28.3,0.8673000306466442
109,v_TmI9MxCDBMw.mp4,""" A bunch of people on intertubes go by slowly.""",191.94,34.55,142.99,15.9,30.4,0.0
110,v_TmI9MxCDBMw.mp4,""" Then we see rapid waters as the tubers go over small falls.""",191.94,149.71,191.94,0.0,29.3,0.0
111,v_4x7HYKV8zkY.mp4,"""Three girls are on the beach talking.""",115.94,0,26.09,36.2,96.5,0.0
112,v_4x7HYKV8zkY.mp4,""" They do several flips on the beach.""",115.94,26.09,65.5,15.0,27.4,0.025940594059405915
113,v_4x7HYKV8zkY.mp4,""" They lift one of the girls up for a stunt.""",115.94,62.03,71.3,54.4,76.7,0.4156950672645737
114,v__Af_9cK5x4E.mp4,"""The camera pans above lush and green terrain over what looks like a mountain range.""",232.29,0,10.45,54.4,60.4,0.0
115,v__Af_9cK5x4E.mp4,""" A man is shown covered in sweat and then jumping across various hills performing stunts on a dirt bike.""",232.29,10.45,48.78,172.3,204.3,0.0
116,v__Af_9cK5x4E.mp4,""" He rotates and flips and performs all sorts of acrobatics.""",232.29,48.78,73.17,166.4,209.9,0.0
117,v__Af_9cK5x4E.mp4,""" He is highly skilled and jumping over everything.""",232.29,73.17,80.14,152.6,213.5,0.0
118,v__Af_9cK5x4E.mp4,""" The video then shows multiple men on dirt bikes jumping in various different places and shows the action from  a variety of angles.""",232.29,80.14,173.06,25.6,35.0,0.0
119,v__Af_9cK5x4E.mp4,""" The men continue performing their stuns in various other landscapes.""",232.29,171.9,232.29,112.4,125.5,0.0
120,v_y5j9TqTy9Xw.mp4,"""A woman is walking along a track.""",44.84,0,7.62,15.6,23.4,0.0
121,v_y5j9TqTy9Xw.mp4,""" She takes off at a fast run.""",44.84,9.64,29.37,0.0,39.5,0.49949367088607594
122,v_y5j9TqTy9Xw.mp4,""" She jumps over a bar and onto a mat.""",44.84,30.71,44.84,14.9,26.7,0.0
123,v_Kp7pUEKrb8Q.mp4,"""A person is slicing limes on a board.""",89.63,10.76,13,12.1,41.5,0.029277813923227074
124,v_Kp7pUEKrb8Q.mp4,""" They put the limes and sugar into a blender.""",89.63,15.69,63.19,0.0,15.3,0.0
125,v_Kp7pUEKrb8Q.mp4,""" They strain the juice and pour it into a jar.""",89.63,64.98,66.33,43.5,80.5,0.036486486486486336
126,v_Kp7pUEKrb8Q.mp4,""" They put a straw and a lime wedge on the rim of the glass.""",89.63,68.57,80.22,46.7,78.8,0.30519093078758963
127,v_5lre5zbUV1Q.mp4,"""A child scrubs out the kitchen sink using a brush.""",77.23,0,33.6,15.7,36.6,0.48907103825136616
128,v_5lre5zbUV1Q.mp4,""" The boy turns on the sink faucet.""",77.23,34.37,38.23,10.1,27.5,0.0
129,v_5lre5zbUV1Q.mp4,""" The child uses the faucet nozzle to rinse out the sink.""",77.23,36.68,69.51,33.6,64.0,0.7607908660540239
130,v_5lre5zbUV1Q.mp4,""" The boy returns the sink nozzle to the faucet and turns off the water.""",77.23,69.89,73.37,22.5,34.5,0.0
131,v_huFuRGoZt9I.mp4,"""A dealer is shown laying out cards on a table while other people's hands are shown on the side.""",23.36,0,13.2,17.0,23.4,0.0
132,v_huFuRGoZt9I.mp4,""" The person then lays out cards while another person lays out their chips.""",23.36,13.78,23.36,10.0,20.7,0.5179640718562875
133,v_CmEQjszPDrg.mp4,"""Several people are outside with running equipment and numbers pinned to them jogging at a slow pace at what seams to be a Marathon or a 5k.""",220.85,0,40.86,0.0,26.9,0.6583455702398433
134,v_CmEQjszPDrg.mp4,"""A lady dressed in all black however,seems to be the focal point throughout the video and she is walking at an extremely slow pace for the whole time.""",220.85,40.86,138.03,24.9,46.4,0.04897021126138071
135,v_CmEQjszPDrg.mp4,"""After the crowd is shown and more people are seen running through the city or even participating in a wheel chair as the people on the side cheer them on.""",220.85,139.13,220.85,33.6,78.5,0.0
136,v_RULNhPrXnfA.mp4,"""A man is shown standing in front of a blue background as many harmonicas are shown and he starts playing them.""",187.55,0,23.44,140.8,157.4,0.0
137,v_RULNhPrXnfA.mp4,""" He is then shown speaking into the camera and going into detail with regards to the products features.""",187.55,23.44,33.76,35.9,63.0,0.0
138,v_RULNhPrXnfA.mp4,""" He shows off how many he has in his coat and continues talking.""",187.55,32.82,45.95,27.0,48.6,0.6078703703703704
139,v_RULNhPrXnfA.mp4,""" He is then shown playing another harmonica as he gives instruction on it.""",187.55,45.95,151.91,45.7,123.0,0.7254495810187365
140,v_RULNhPrXnfA.mp4,""" He speaks some more and shows his harmonica again as the video goes to an end title screen that reads Howcast original"".""",187.55,150.98,187.55,26.1,36.0,0.0
141,v_Zd22n1caVgM.mp4,"""A boy wearing white shorts is standing in a room.""",32.49,0,31.51,16.3,28.8,0.3966994604887337
142,v_Zd22n1caVgM.mp4,""" He puts something in his mouth.""",32.49,7.15,7.8,15.4,26.4,0.0
143,v_Zd22n1caVgM.mp4,""" He kicks his legs up to the side.""",32.49,15.59,16.57,16.0,30.5,0.03822937625754529
144,v_Zd22n1caVgM.mp4,""" The kneels down onto the ground.""",32.49,21.12,26.64,15.4,26.1,0.4430604982206406
145,v_ZKP5J7OKEvI.mp4,"""A small group of people are seen sitting on the side and lead into two people dancing together.""",173.78,0,119.04,14.9,26.9,0.1008064516129032
146,v_ZKP5J7OKEvI.mp4,""" The people continue dancing along the floor and end by clapping with the band.""",173.78,53.87,169.43,0.0,60.3,0.037950776131735815
147,v_44BfVJnhBgc.mp4,"""A runner tests a prosthetic leg in a long distance run.""",169.92000000000002,0,159.73,142.8,157.2,0.09015213172228122
148,v_44BfVJnhBgc.mp4,""" He runs inside then runs outside.""",169.92000000000002,65.42,159.73,0.0,47.8,0.0
149,v_VFOjLDa5VtA.mp4,"""A small group of people are seen wandering around a tennis court hitting a ball over the net.""",48.76,0,14.63,20.8,30.0,0.0
150,v_VFOjLDa5VtA.mp4,""" The people hit the ball back and fourth while others watch on the side.""",48.76,14.87,37.06,25.6,44.8,0.38289341797527565
151,v_VFOjLDa5VtA.mp4,""" They continue to play the game as well as others.""",48.76,29.5,47.54,0.0,19.7,0.0
152,v_O-zE1-Yw3w0.mp4,"""A young girl introduces the video and explains what she will be doing to wood.""",136.19,0,40.86,55.6,63.8,0.0
153,v_O-zE1-Yw3w0.mp4,""" She places a piece of bubblewrap and makes sure it covers around about half of the wood.""",136.19,48.35,94.65,0.0,23.3,0.0
154,v_O-zE1-Yw3w0.mp4,""" She then covers the rest of the wood and walks across it like a plank.""",136.19,107.59,125.97,6.6,20.9,0.0
155,v_LFeoVokXAFY.mp4,"""A man uses a large plastic blue bat.""",58.42,0,8.47,14.8,36.6,0.0
156,v_LFeoVokXAFY.mp4,""" He swings it at a pinata shaped like spongebob squarepants.""",58.42,11.98,50.54,13.3,47.8,0.8947095435684647
157,v_LFeoVokXAFY.mp4,""" He misses several times, and keeps swinging.""",58.42,52.58,58.42,15.6,27.0,0.0
158,v_HxJnPUqF9i8.mp4,"""Athletes throw a javelin during a competition.""",121.05,8.47,12.71,35.7,45.7,0.0
159,v_HxJnPUqF9i8.mp4,""" A man practices his throwing stance walking and doing half throws without javeline.""",121.05,13.92,37.52,3.6,21.6,0.22641509433962267
160,v_HxJnPUqF9i8.mp4,""" A man practices his throwing stance walking and doing half throws holding a javeline.""",121.05,38.13,54.47,34.2,60.9,0.6119850187265917
161,v_HxJnPUqF9i8.mp4,""" The man swings a hammer.""",121.05,56.29,61.13,24.5,57.4,0.030303030303030287
162,v_HxJnPUqF9i8.mp4,""" The man throws a weighted ball.""",121.05,67.18,75.05,42.5,59.7,0.0
163,v_HxJnPUqF9i8.mp4,""" Athletes train in a gym doing throwing motions on weighted cable machines.""",121.05,89.57,113.18,36.4,50.7,0.0
164,v_FKl0077EUoY.mp4,"""We see a person sharpen a knife on a sanding disc.""",57.02,0,20.24,20.6,30.0,0.0
165,v_FKl0077EUoY.mp4,""" The person touches it and turns it off.""",57.02,7.41,15.11,20.9,30.0,0.0
166,v_FKl0077EUoY.mp4,""" The person turns it on and then off off.""",57.02,16.25,30.51,25.9,43.8,0.16733212341197834
167,v_FKl0077EUoY.mp4,""" We see the man talking to the camera.""",57.02,32.79,57.02,20.8,30.0,0.0
168,v_x4iCAIPRDVQ.mp4,"""People exercise on fitness machines while people sits on front and watch.""",23.38,0,23.38,0.0,22.3,0.9538066723695466
169,v_x4iCAIPRDVQ.mp4,""" A man pass on front holding a jacket and stand next a TV.""",23.38,11.69,21.63,10.2,16.9,0.45581802274715655
170,v_x4iCAIPRDVQ.mp4,""" A group of woman walk on front people exercising.""",23.38,21.63,23.38,14.5,23.6,0.1923076923076923
171,v_NwfS7eZiMLg.mp4,"""A man is playing the bagpipes at the bottom of the stairs in the living room of a house, wearing a button up and dress pants, along with socks.""",134.72,0,99.02,16.0,36.0,0.20197939810139368
172,v_NwfS7eZiMLg.mp4,""" He begins to tap his foot along with the beat of his tune, He starts to tap his left foot in a back and forth rhythm with his right foot.""",134.72,99.69,132.7,36.2,47.9,0.0
173,v_NwfS7eZiMLg.mp4,""" He finishes, and smiles at the camera.""",134.72,133.37,134.72,0.0,30.0,0.0
174,v_aJbl1eVBzk0.mp4,"""People are working in a bike shop fixing a bike.""",187.83,0,187.83,50.6,60.0,0.050045253686844475
175,v_aJbl1eVBzk0.mp4,"""They put the wheels back onto the bike.""",187.83,122.09,129.6,55.9,67.9,0.0
176,v_aJbl1eVBzk0.mp4,""" The put the seat on the bike.""",187.83,143.69,146.51,40.6,137.5,0.0
177,v_aJbl1eVBzk0.mp4,""" The bike is put together on the floor.""",187.83,167.17,169.98,0.0,163.3,0.0
178,v_UYHgieL5IKM.mp4,"""A man is giving advice on outdoor activities, specifically mushrooming and closeup is shown and the man talks about it.""",185.18,0,90.74,22.6,34.8,0.13445007714348683
179,v_UYHgieL5IKM.mp4,"""  The man cuts one open and then cuts it in half.""",185.18,52.78,141.66,42.9,70.4,0.17841231267719732
180,v_UYHgieL5IKM.mp4,"""  Another man talks about the experience.""",185.18,157.4,181.48,13.0,35.8,0.0
181,v_f0CViWbj3V4.mp4,"""A man and woman are seated on a porch.""",27.63,0,1.38,20.8,30.0,0.0
182,v_f0CViWbj3V4.mp4,""" The man plays bongo drums while the woman helps occasionally.""",27.63,1.93,20.59,19.0,28.7,0.059394844975719084
183,v_f0CViWbj3V4.mp4,""" Another hand is seen banging a drum in the foreground.""",27.63,21.41,27.63,20.6,30.6,0.6219999999999999
184,v_h8J08sJ2no0.mp4,"""A person walks on the roof of a climbing equipment, then he goes down the wall and reach the floor and walk forward.""",45.51,0,24.8,21.6,28.4,0.11267605633802814
185,v_h8J08sJ2no0.mp4,""" The man stand with the hands on the border on the equipment and descend down the walk with the hands, then he walk on hands sideward.""",45.51,24.8,40.96,24.9,37.3,0.7673267326732672
186,v_g0XO-rWHmzs.mp4,"""A woman is seen holding two dogs on a leash and proceeds to unhook them and let them go.""",73.98,0.74,44.39,0.0,54.6,0.7994505494505494
187,v_g0XO-rWHmzs.mp4,""" One down then does his business into a bag tied to him and runs off behind bikes.""",73.98,35.51,71.39,0.0,57.9,0.31362935985432133
188,v_rBaR5xF8orE.mp4,"""A large group of people are seen sitting around an auditorium with one man flying kites around in the middle.""",128.18,0,63.45,60.8,90.8,0.029185022026431782
189,v_rBaR5xF8orE.mp4,""" The person continues moving around with the kites and walks away in the end with a woman speaking to the crowd.""",128.18,62.81,128.18,120.0,124.6,0.07036867064402622
190,v_i2u80Y3BMYs.mp4,"""Two men in work out clothes are standing up against the wall and they begin to talk about working out.""",214.78,0,63.36,104.5,162.6,0.0
191,v_i2u80Y3BMYs.mp4,"""One man is then shown and he bends down and shows the proper way to lift the bar with weight on it.""",214.78,63.36,136.38,30.6,35.3,0.0
192,v_i2u80Y3BMYs.mp4,"""A replay is then shown and the boy bends from the knees and then flips his wrist and brings it over his shoulder as he goes down into a squatting position.""",214.78,135.31,214.78,137.6,191.7,0.6807600352334213
193,v_xmag8UI8iws.mp4,""" A person is using a leaf blower to blow leaves into a pile.""",104.33,0,104.33,0.0,12.5,0.11981213457298956
194,v_xmag8UI8iws.mp4,""" The leaves blow up onto a hedge.""",104.33,68.86,80.33,61.7,74.9,0.3242082662372522
195,v_xmag8UI8iws.mp4,""" They walk in front of a tree.""",104.33,100.68,104.33,25.6,41.5,0.0
196,v_N9LTq3gYmsI.mp4,"""A group of people are sitting down at the top of a snow slide in a tube.""",35.55,0,14.04,17.2,31.3,0.0
